op_time,key,key_size,op,op_count,size,cache_hits,ttl,usecase,sub_usecase
604038471,82131353f9ddc8c6,48,GET,1,87,1,0,366387042,3003229276
604038471,a54f88ab02ece24d,24,GET,3,0,0,0,699950563,699950563
604038471,a54f88ab02ece24d,24,GET,1,0,0,0,699950563,699950563
604038471,4ccc6e0fdd163416,87,GET,3,8,3,0,366387042,2858173043
604038471,4ccc6e0fdd163416,87,GET,2,8,2,0,366387042,3041126167
604038471,06631532f2663ee4,81,GET,1,6432,1,0,366387042,4180585383
604038471,749ab7237b8d0372,47,GET_LEASE,7,10,7,0,176962275,176962275
604038472,06631532f2663ee4,81,GET,2,6432,2,0,366387042,655456894
604038472,f287c0e95cbf470f,73,GET,4,41,4,0,2777918327,2497741817
604038472,f287c0e95cbf470f,73,GET,1,41,1,0,2777918327,2497741817
604038472,eac35dcc4a16b8dd,55,GET,1,809,1,0,844099740,4180585383
604038472,f7c5bb600bc74575,55,GET,1,950,1,0,844099740,3041126167
604038473,64a53cea9cea5f23,64,GET,1,8,1,0,366387042,4180585383
604038473,bdb401a4264a3c4c,59,GET_LEASE,1,8,1,0,366387042,3864869689
604038473,828769c1e1ce3a29,67,SET,1,65,0,7200,2777918327,655456894
604038473,828769c1e1ce3a29,67,GET,1,0,0,0,2777918327,655456894
604038473,f287c0e95cbf470f,73,GET,1,41,1,0,2777918327,2497741817
604038473,ccdddef945c01aea,62,GET_LEASE,1,63,1,0,603193103,3777769885
604038473,40e66a458581a103,21,GET_LEASE,31,101,31,0,769180919,769180919
604038473,02965e830c04bb53,58,GET_LEASE,10,8,10,0,366387042,4180585383
604038473,8e10b031dae49834,38,GET,1,40,1,0,366387042,2870487052
604038473,9bfeb5ca0751d350,67,GET,2,657,2,0,366387042,2962779383
604038474,ba3e447a0b9bd4e5,108,SET,1,25,0,10800,2777918327,4180585383
604038474,ba3e447a0b9bd4e5,108,GET,1,0,0,0,2777918327,4180585383
604038474,faae0d88dc045eb4,41,GET,1,24,1,0,366387042,441672314
604038474,3722c24273013244,23,GET_LEASE,1,26,1,0,416516053,2858173043
604038474,4ccc6e0fdd163416,87,GET,5,8,5,0,366387042,4181542574
604038474,7123c35f14400d3b,46,GET_LEASE,1,93,1,0,366387042,4180585383
604038474,40e66a458581a103,21,GET_LEASE,32,101,32,0,769180919,769180919
604038474,40e66a458581a103,21,GET_LEASE,36,101,36,0,769180919,769180919
